#Note - the user should implement his/her own light-curve quality cuts, and calculate his/her own mu values.  

Update 1a:  High-z HST SN distances were given here with a different format.  These have been removed. 
Update 1b: Small changes to the peculiar velocities were made from Hudson from 2M++ data.  These have <0.1% impact on H0.
Update 2: Small fix of output of DEC position of handful of CfA4 SNe.
Update 2b: Fixed the small fix of output of DEC position of handful of CfA4 SNe. 9/25/16
Update 3: Cut out id=15 as not used in Riess 2016
User note: This list does not have duplicate SNe removed - most of the SNe have the same name, but a handful of SDSS that have duplicates don't: (sdss=['16314','16392','16333','14318','17186','17784','7876’],truname=['2006oa','2006ob','2006on','2006py','2007hx','2007jg','2005ir’]).
User note: Intrinsic scatter and distance scatter due to redshift error is not included here. 11/14/2016

NVAR: 41 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX MU MUERR MUERR_NOSIGMB MURES MUPULL sbar cbar ERRCODE 
SN: 13005 13005 1 120 82S 0.12622 0.00001 0.12728 0.00001 10.0930 7.60000e-02 36.1738 30.1432 19.7023 53964.637 1.360 -3.15085e-01 0.3203 -1.36051e-02 4.58501e-02 19.6208497767 0.1181 0.00025447665867 2.92619e-05 3.33306e-03 -4.03487e-06 -1.08341e-06 28 13.4082 0.9940 27.395418 -0.649959 -0.649959   38.9461  0.1052  0.1052  0.069  0.659 -0.446 -0.005 0 
SN: 13038 13038 1 120 82S 0.10264 0.00001 0.10400 0.00001 -9 -9 72.3736 67.8521 32.8801 53988.652 0.141 1.4355 0.1459 -1.98616e-02 2.34276e-02 18.9101848246 3.84660e-02 0.000489712866983 1.71697e-05 6.85410e-04 -1.00805e-06 -3.08945e-07 49 38.6689 0.8552 -12.173279 0.504510 0.504510   38.4999  0.0541  0.0541  0.095  1.755  1.337  0.010 0 
SN: 13044 13044 1 120 82S 0.12455 0.00001 0.12588 0.00001 9.9130 6.20000e-02 60.3120 47.1949 30.1385 54003.180 0.094 -1.50310e-02 0.1296 -6.86775e-02 2.24358e-02 19.3038439368 3.76349e-02 0.000340784801879 1.18947e-05 4.51897e-04 -3.49453e-07 -1.99560e-07 55 66.6714 0.1345 -27.457306 0.503229 0.503229   38.8418  0.0508  0.0508 -0.009 -0.178 -0.007 -0.072 0 
SN: 13136 13136 1 120 82S 0.37046 0.00001 0.37206 0.00001 11.4330 9.30000e-02 8.3099 6.7856 5.0365 53993.973 1.118 0.8068 0.9151 -1.07500e-01 6.27302e-02 21.9843037112 7.21414e-02 2.88591372264e-05 1.88249e-06 1.52136e-02 -9.81446e-07 -4.21734e-08 67 50.8224 0.9407 6.140621 -0.279119 -0.279119   41.7577  0.2157  0.2157  0.259  1.203  0.213 -0.060 0 
SN: 13152 13152 1 120 82S 0.20215 0.00001 0.20355 0.00001 9.3870 9.60000e-02 31.9080 27.8134 19.3489 54001.219 0.201 0.2821 0.2526 1.49946e-02 2.93805e-02 20.4127835352 3.48017e-02 0.000122713099078 4.08301e-06 9.18106e-04 -3.76487e-07 -9.21768e-08 47 49.4247 0.3766 7.052006 0.117933 0.117933   39.7330  0.0770  0.0770 -0.265 -3.439  0.705 -0.063 0 
SN: 13254 13254 1 120 82S 0.17990 0.00001 0.18075 0.00001 10.0050 6.20000e-02 18.0555 16.9238 11.3675 53994.203 0.628 0.5365 0.4100 9.26960e-02 3.80521e-02 20.9138117253 5.07065e-02 7.7350044234e-05 3.82108e-06 6.45339e-04 -1.72236e-07 -1.04488e-07 56 55.0807 0.5474 42.058598 -0.347114 -0.347114   40.0288  0.1054  0.1054  0.318  3.019 -0.147  0.176 0 
SN: 13411 13411 1 120 82S 0.16180 0.00001 0.16300 0.00001 8.9220 0.1300 29.3183 25.8234 17.1929 53987.480 0.305 1.8296 0.3804 1.61548e-02 3.53564e-02 19.9659962373 6.65674e-02 0.00018517930082 1.07317e-05 3.78149e-03 -2.26658e-06 -2.75984e-07 47 33.3822 0.9330 -44.810089 0.191620 0.191620   39.4993  0.0960  0.0960  0.037  0.380  1.746  0.023 0 
SN: 13425 13425 1 120 82S 0.21114 0.00001 0.21261 0.00001 10.3630 0.1480 10.5792 9.0375 8.4647 53992.996 1.171 -9.53076e-01 0.6011 0.2542 5.91714e-02 21.8460228881 7.97694e-02 3.2779965258e-05 3.14558e-06 2.86465e-03 -3.66139e-07 -1.33796e-07 39 24.4765 0.9664 -21.458405 0.054955 0.054955   40.2517  0.1582  0.1582  0.148  0.936 -1.269  0.290 0 
SN: 13578 13578 1 120 82N 0.22669 0.00001 0.22800 0.00001 9.1210 0.1100 24.0937 16.6645 12.4181 53998.766 0.403 -1.83874e-01 0.3823 -4.07799e-02 3.67010e-02 20.8112197327 4.18054e-02 8.50179854113e-05 3.38949e-06 1.36636e-03 -5.00420e-07 -7.94773e-08 41 30.9568 0.8954 17.394630 0.704045 0.704045   40.2391  0.1095  0.1095 -0.035 -0.323 -0.115 -0.050 0 
SN: 13610 13610 1 120 82N 0.29683 0.00001 0.29831 0.00001 10.4710 9.40000e-02 16.9133 13.3519 8.0093 53997.008 0.274 0.1648 0.5490 -9.89307e-02 4.24037e-02 21.0906169379 5.29244e-02 6.57259546286e-05 3.21353e-06 1.71539e-03 -7.82997e-07 -6.75455e-08 65 33.8715 0.9996 -33.985352 0.726163 0.726163   40.7476  0.1457  0.1457 -0.193 -1.322  0.620 -0.137 0 
